,solddate,price,beds,baths,sqft,sqftlot,href
,"Sold - Nov 16, 2022","$435,000",2bed,1bath,758sqft,1.97acre lot,/realestateandhomes-detail/414-Sprout-Brook-Rd_Garrison_NY_10524_M47759-92413
,"Sold - Nov 1, 2022","$720,000",3bed,2.5bath,"1,924sqft",1.09acre lot,/realestateandhomes-detail/119-Cedar-Rd_Katonah_NY_10536_M49626-60422
,"Sold - Nov 1, 2022","$660,000",4bed,2bath,"1,853sqft",1.82acre lot,/realestateandhomes-detail/623-Millwood-Rd_Mount-Kisco_NY_10549_M40344-25103
"Image for 45 Pines Ln, Chappaqua, NY 10514 is not found","Sold - Oct 25, 2022","$437,272",5bed,3.5bath,"2,955sqft",1.41acre lot,/realestateandhomes-detail/45-Pines-Ln_Chappaqua_NY_10514_M45133-29729
"Image for 133 Peaceable Hill Rd, Brewster, NY 10509 is not found","Sold - Oct 24, 2022","$440,000",3bed,2bath,"1,398sqft",1acre lot,/realestateandhomes-detail/133-Peaceable-Hill-Rd_Brewster_NY_10509_M40901-46522
"Image for 54 Nicole Way, Mahopac, NY 10541 is not found","Sold - Oct 21, 2022","$717,500",3bed,2bath,"2,950sqft",1.54acre lot,/realestateandhomes-detail/54-Nicole-Way_Mahopac_NY_10541_M46416-64801
"Image for 25 Winston Ln, Garrison, NY 10524 is not found","Sold - Oct 21, 2022","$624,500",3bed,2.5bath,"2,144sqft",1.17acre lot,/realestateandhomes-detail/25-Winston-Ln_Garrison_NY_10524_M49320-24914
"Image for 2061 Long Ridge Rd, Stamford, CT 06903 is not found","Sold - Oct 21, 2022","$790,000",5bed,3.5bath,"3,159sqft",1.09acre lot,/realestateandhomes-detail/2061-Long-Ridge-Rd_Stamford_CT_06903_M32703-83770
"Image for 18 Brandon Dr, Mount Kisco, NY 10549 is not found","Sold - Oct 20, 2022","$450,000",5bed,3bath,"2,225sqft",1.94acre lot,/realestateandhomes-detail/18-Brandon-Dr_Mount-Kisco_NY_10549_M30000-02848
"Image for 84 Harvey Rd, Ridgefield, CT 06877 is not found","Sold - Oct 20, 2022","$550,000",3bed,1bath,"1,406sqft",1.11acre lot,/realestateandhomes-detail/84-Harvey-Rd_Ridgefield_CT_06877_M42558-00607
"Image for 61 Lounsbury Rd, Ridgefield, CT 06877 is not found","Sold - Oct 19, 2022","$780,000",4bed,2.5bath,"3,044sqft",3.2acre lot,/realestateandhomes-detail/61-Lounsbury-Rd_Ridgefield_CT_06877_M49122-80782
"Image for 442 Waverly Rd, Shelton, CT 06484 is not found","Sold - Oct 18, 2022","$636,000",3bed,2.5bath,"2,788sqft",1.69acre lot,/realestateandhomes-detail/442-Waverly-Rd_Shelton_CT_06484_M34616-95746
"Image for 2 Greenlawn Rd, Katonah, NY 10536 is not found","Sold - Oct 18, 2022","$730,000",4bed,3bath,"2,382sqft",1.79acre lot,/realestateandhomes-detail/2-Greenlawn-Rd_Katonah_NY_10536_M32863-92136
"Image for 128 Davis Hill Rd, Weston, CT 06883 is not found","Sold - Oct 18, 2022","$750,000",3bed,2bath,"1,641sqft",3.5acre lot,/realestateandhomes-detail/128-Davis-Hill-Rd_Weston_CT_06883_M41668-82326
"Image for 22 Old Town Rd, Bethel, CT 06801 is not found","Sold - Oct 18, 2022","$575,000",3bed,2.5bath,"2,240sqft",1.51acre lot,/realestateandhomes-detail/22-Old-Town-Rd_Bethel_CT_06801_M42098-82668
"Image for 43 Ganung Dr, Ossining, NY 10562 is not found","Sold - Oct 17, 2022","$700,000",3bed,2bath,"1,780sqft",1.22acre lot,/realestateandhomes-detail/43-Ganung-Dr_Ossining_NY_10562_M40134-38783
"Image for 54 Sugar Ln, Newtown, CT 06470 is not found","Sold - Oct 17, 2022","$490,000",3bed,2.5bath,"1,604sqft",1.4acre lot,/realestateandhomes-detail/54-Sugar-Ln_Newtown_CT_06470_M31350-79356
"Image for 2 Easton Heights Ln, Easton, CT 06612 is not found","Sold - Oct 17, 2022","$763,831",5bed,4.5bath,"4,691sqft",10.37acre lot,/realestateandhomes-detail/2-Easton-Heights-Ln_Easton_CT_06612_M31491-50474
"Image for 697 Sport Hill Rd, Easton, CT 06612 is not found","Sold - Oct 17, 2022","$445,000",3bed,1.5bath,"1,720sqft",3acre lot,/realestateandhomes-detail/697-Sport-Hill-Rd_Easton_CT_06612_M37337-90840
"Image for 10 Tranquility Dr, Easton, CT 06612 is not found","Sold - Oct 14, 2022","$660,000",4bed,4.5bath,"4,407sqft",3.1acre lot,/realestateandhomes-detail/10-Tranquility-Dr_Easton_CT_06612_M36281-79159
"Image for 25 Oslo Path, Carmel, NY 10512 is not found","Sold - Oct 14, 2022","$514,000",2bed,1.5bath,"1,386sqft",3.13acre lot,/realestateandhomes-detail/25-Oslo-Path_Carmel_NY_10512_M41981-62820
"Image for 223 Georgetown Rd, Weston, CT 06883 is not found","Sold - Oct 14, 2022","$555,000",3bed,2bath,"1,672sqft",2.08acre lot,/realestateandhomes-detail/223-Georgetown-Rd_Weston_CT_06883_M39530-13081
"Image for 10 Peaceable St, Redding, CT 06896 is not found","Sold - Oct 13, 2022","$695,000",3bed,2.5bath,"1,494sqft",2acre lot,/realestateandhomes-detail/10-Peaceable-St_Redding_CT_06896_M39544-68196
"Image for 38 Meeker Hill Rd, Redding, CT 06896 is not found","Sold - Oct 13, 2022","$575,000",3bed,2.5bath,"2,425sqft",2.41acre lot,/realestateandhomes-detail/38-Meeker-Hill-Rd_Redding_CT_06896_M45116-49155
"Image for 9 Longview Heights Rd, Newtown, CT 06470 is not found","Sold - Oct 13, 2022","$500,000",3bed,2.5bath,"1,849sqft",2.19acre lot,/realestateandhomes-detail/9-Longview-Heights-Rd_Newtown_CT_06470_M46194-38524
"Image for 314 N Salem Rd, Ridgefield, CT 06877 is not found","Sold - Oct 12, 2022","$485,000",3bed,1bath,"1,233sqft",1.08acre lot,/realestateandhomes-detail/314-N-Salem-Rd_Ridgefield_CT_06877_M45340-16760
"Image for 29 Aunt Pattys Ln W, Bethel, CT 06801 is not found","Sold - Oct 11, 2022","$675,000",3bed,2.5bath,"3,090sqft",4.06acre lot,/realestateandhomes-detail/29-Aunt-Pattys-Ln-W_Bethel_CT_06801_M39350-80643
"Image for 128 Old Hawleyville Rd, Bethel, CT 06801 is not found","Sold - Oct 11, 2022","$708,000",4bed,3.5bath,"3,600sqft",1.5acre lot,/realestateandhomes-detail/128-Old-Hawleyville-Rd_Bethel_CT_06801_M38682-68922
"Image for 147 Merrimac Dr, Trumbull, CT 06611 is not found","Sold - Oct 11, 2022","$515,000",3bed,2.5+bath,"3,127sqft",1.17acre lot,/realestateandhomes-detail/147-Merrimac-Dr_Trumbull_CT_06611_M39964-50649
"Image for 21 Rock Ridge Rd, Newtown, CT 06470 is not found","Sold - Oct 11, 2022","$459,000",3bed,2bath,"1,872sqft",1.22acre lot,/realestateandhomes-detail/21-Rock-Ridge-Rd_Newtown_CT_06470_M46804-12087
"Image for 1205 Daniels Farm Rd, Trumbull, CT 06611 is not found","Sold - Oct 7, 2022","$559,900",4bed,2.5bath,"2,142sqft",1acre lot,/realestateandhomes-detail/1205-Daniels-Farm-Rd_Trumbull_CT_06611_M44729-26508
"Image for 105 Danbury Rd, Wilton, CT 06897 is not found","Sold - Oct 7, 2022","$600,000",3bed,2bath,"1,066sqft",1.02acre lot,/realestateandhomes-detail/105-Danbury-Rd_Wilton_CT_06897_M39405-92150
"Image for 95 Great Oak Ln, Redding, CT 06896 is not found","Sold - Oct 6, 2022","$727,000",6bed,3bath,"2,440sqft",2.05acre lot,/realestateandhomes-detail/95-Great-Oak-Ln_Redding_CT_06896_M48858-70601
"Image for 148 Cross Hill Rd, Monroe, CT 06468 is not found","Sold - Oct 6, 2022","$445,000",3bed,2bath,"2,130sqft",1.2acre lot,/realestateandhomes-detail/148-Cross-Hill-Rd_Monroe_CT_06468_M40300-32338
"Image for 35 Key Rock Rd, Newtown, CT 06470 is not found","Sold - Oct 6, 2022","$276,000",3bed,1.5bath,"1,200sqft",1.39acre lot,/realestateandhomes-detail/35-Key-Rock-Rd_Newtown_CT_06470_M33743-52601
"Image for 25 Lakeview Rd, Ossining, NY 10562 is not found","Sold - Oct 6, 2022","$625,000",3bed,2bath,"2,017sqft",1.23acre lot,/realestateandhomes-detail/25-Lakeview-Rd_Ossining_NY_10562_M45233-38524
"Image for 1487 Westview Dr, Yorktown Heights, NY 10598 is not found","Sold - Oct 6, 2022","$675,000",4bed,3bath,"2,200sqft",1.27acre lot,/realestateandhomes-detail/1487-Westview-Dr_Yorktown-Heights_NY_10598_M30295-68559
"Image for 260 Gilbert Hwy, Fairfield, CT 06824 is not found","Sold - Oct 5, 2022","$800,000",4bed,2.5bath,"2,424sqft",2.19acre lot,/realestateandhomes-detail/260-Gilbert-Hwy_Fairfield_CT_06824_M33412-53963
"Image for 9 Oak Ledge Ln, Wilton, CT 06897 is not found","Sold - Oct 5, 2022","$684,950",4bed,2.5bath,"1,363sqft",1.58acre lot,/realestateandhomes-detail/9-Oak-Ledge-Ln_Wilton_CT_06897_M31956-08693
"Image for 44 Old Logging Rd, Stamford, CT 06903 is not found","Sold - Oct 5, 2022","$725,000",4bed,2.5bath,"1,660sqft",1.09acre lot,/realestateandhomes-detail/44-Old-Logging-Rd_Stamford_CT_06903_M46227-95608
"Image for 18 Laurel Rd, Pound Ridge, NY 10576 is not found","Sold - Oct 5, 2022","$700,000",5bed,5.5bath,"5,282sqft",2.13acre lot,/realestateandhomes-detail/18-Laurel-Rd_Pound-Ridge_NY_10576_M45764-63311
"Image for 13 Old Castle Dr, Newtown, CT 06470 is not found","Sold - Oct 4, 2022","$769,000",4bed,2.5bath,"3,559sqft",1.03acre lot,/realestateandhomes-detail/13-Old-Castle-Dr_Newtown_CT_06470_M36926-15122
,"Sold - Oct 4, 2022","$755,000",4bed,3.5bath,"3,150sqft",3.1acre lot,/realestateandhomes-detail/115-Blanket-Meadow-Rd_Monroe_CT_06468_M30835-71343
,"Sold - Oct 4, 2022","$575,000",3bed,2bath,"2,152sqft",1.2acre lot,/realestateandhomes-detail/20-Indian-Rd_Trumbull_CT_06611_M33329-56436
,"Sold - Oct 4, 2022","$700,000",2bed,2.5bath,"1,430sqft",1.31acre lot,/realestateandhomes-detail/10-Beers-Rd_Easton_CT_06612_M49921-84037
"Image for 72 Regan Rd, Ridgefield, CT 06877 is not found","Sold - Oct 3, 2022","$645,000",4bed,2bath,"1,548sqft",1.01acre lot,/realestateandhomes-detail/72-Regan-Rd_Ridgefield_CT_06877_M37063-06244
"Image for 12 Lima Dr, Monroe, CT 06468 is not found","Sold - Oct 3, 2022","$465,000",3bed,2.5bath,"1,880sqft",1.12acre lot,/realestateandhomes-detail/12-Lima-Dr_Monroe_CT_06468_M32202-43407
"Image for 111 Crabapple Rd, Trumbull, CT 06611 is not found","Sold - Oct 3, 2022","$750,000",4bed,2.5bath,"2,470sqft",1acre lot,/realestateandhomes-detail/111-Crabapple-Rd_Trumbull_CT_06611_M43346-64971
"Image for 15 Brookhedge Rd, Trumbull, CT 06611 is not found","Sold - Oct 3, 2022","$545,000",4bed,2.5bath,"1,500sqft",1.06acre lot,/realestateandhomes-detail/15-Brookhedge-Rd_Trumbull_CT_06611_M49377-02452
"Image for 21 Maltbie Rd, Newtown, CT 06470 is not found","Sold - Oct 3, 2022","$500,000",3bed,2.5bath,"2,140sqft",2.36acre lot,/realestateandhomes-detail/21-Maltbie-Rd_Newtown_CT_06470_M48827-96940
"Image for 45 Kellogg Hill Rd, Weston, CT 06883 is not found","Sold - Oct 3, 2022","$500,000",3bed,2bath,"1,170sqft",2.09acre lot,/realestateandhomes-detail/45-Kellogg-Hill-Rd_Weston_CT_06883_M38982-32146
"Image for 15 Hackberry Hill Rd, Weston, CT 06883 is not found","Sold - Oct 3, 2022","$525,457",4bed,2bath,"1,952sqft",5.68acre lot,/realestateandhomes-detail/15-Hackberry-Hill-Rd_Weston_CT_06883_M36665-49781
"Image for 37 Portland Hill Rd, Redding, CT 06896 is not found","Sold - Oct 3, 2022","$400,000",2bed,1bath,"1,000sqft",1acre lot,/realestateandhomes-detail/37-Portland-Hill-Rd_Redding_CT_06896_M43260-27496
"Image for 14 Reimer Rd, Westport, CT 06880 is not found","Sold - Oct 3, 2022","$690,000",3bed,2bath,"1,987sqft",1.01acre lot,/realestateandhomes-detail/14-Reimer-Rd_Westport_CT_06880_M46735-50079
"Image for 30 Shad Rd W, Pound Ridge, NY 10576 is not found","Sold - Oct 3, 2022","$460,000",3bed,2bath,"1,490sqft",2.34acre lot,/realestateandhomes-detail/30-Shad-Rd-W_Pound-Ridge_NY_10576_M45740-50471
"Image for 11 Godfrey Ln, Wilton, CT 06897 is not found","Sold - Oct 3, 2022","$350,000",4bed,2bath,"1,848sqft",1.22acre lot,/realestateandhomes-detail/11-Godfrey-Ln_Wilton_CT_06897_M36681-52217
"Image for 23 Candlewood Rd, Trumbull, CT 06611 is not found","Sold - Sep 30, 2022","$478,800",3bed,2bath,"1,740sqft",1.08acre lot,/realestateandhomes-detail/23-Candlewood-Rd_Trumbull_CT_06611_M41258-80159
"Image for 47 Key Rock Rd, Newtown, CT 06470 is not found","Sold - Sep 29, 2022","$360,000",2bed,1bath,960sqft,1.53acre lot,/realestateandhomes-detail/47-Key-Rock-Rd_Newtown_CT_06470_M36007-54574
"Image for 41 Key Rock Rd, Newtown, CT 06470 is not found","Sold - Sep 28, 2022","$486,000",4bed,2bath,"1,642sqft",1.33acre lot,/realestateandhomes-detail/41-Key-Rock-Rd_Newtown_CT_06470_M38142-51159
"Image for 55 Long Ridge Rd, Redding, CT 06896 is not found","Sold - Sep 28, 2022","$452,000",3bed,2bath,"1,392sqft",2.74acre lot,/realestateandhomes-detail/55-Long-Ridge-Rd_Redding_CT_06896_M44593-61889
"Image for 750 Ethan Allen Hwy, Ridgefield, CT 06877 is not found","Sold - Sep 28, 2022","$510,000",4bed,2bath,"1,136sqft",1.02acre lot,/realestateandhomes-detail/750-Ethan-Allen-Hwy_Ridgefield_CT_06877_M38731-00196
"Image for 12 Sleepy Hollow Rd, Ridgefield, CT 06877 is not found","Sold - Sep 28, 2022","$595,000",5bed,2.5bath,"2,959sqft",1.09acre lot,/realestateandhomes-detail/12-Sleepy-Hollow-Rd_Ridgefield_CT_06877_M40280-94326
"Image for 105 Huntingtown Rd, Newtown, CT 06470 is not found","Sold - Sep 27, 2022","$625,000",5bed,3.5bath,"2,600sqft",3.47acre lot,/realestateandhomes-detail/105-Huntingtown-Rd_Newtown_CT_06470_M37357-57711
"Image for 287 Stanley Rd, Monroe, CT 06468 is not found","Sold - Sep 27, 2022","$635,000",4bed,2.5bath,"2,700sqft",1.1acre lot,/realestateandhomes-detail/287-Stanley-Rd_Monroe_CT_06468_M31837-22784
"Image for 26 Deer Hill Rd, Redding, CT 06896 is not found","Sold - Sep 27, 2022","$600,000",4bed,2.5bath,"2,292sqft",2.03acre lot,/realestateandhomes-detail/26-Deer-Hill-Rd_Redding_CT_06896_M44764-70105
"Image for 23 Laurel Ln, Ridgefield, CT 06877 is not found","Sold - Sep 27, 2022","$615,000",4bed,2bath,"1,673sqft",1.14acre lot,/realestateandhomes-detail/23-Laurel-Ln_Ridgefield_CT_06877_M38493-61791
"Image for 4858 Madison Ave, Trumbull, CT 06611 is not found","Sold - Sep 26, 2022","$720,000",4bed,3.5bath,"3,090sqft",3.1acre lot,/realestateandhomes-detail/4858-Madison-Ave_Trumbull_CT_06611_M44150-84875
"Image for 58 E Maiden Ln, Monroe, CT 06468 is not found","Sold - Sep 26, 2022","$390,000",3bed,1bath,"1,008sqft",1.01acre lot,/realestateandhomes-detail/58-E-Maiden-Ln_Monroe_CT_06468_M42918-25584
"Image for 26 Kingsbury Dr, Trumbull, CT 06611 is not found","Sold - Sep 26, 2022","$650,000",4bed,2.5bath,"2,700sqft",1.31acre lot,/realestateandhomes-detail/26-Kingsbury-Dr_Trumbull_CT_06611_M30442-10284
"Image for 4 Dover Cir, Newtown, CT 06470 is not found","Sold - Sep 23, 2022","$800,000",4bed,4.5bath,"3,863sqft",2acre lot,/realestateandhomes-detail/4-Dover-Cir_Newtown_CT_06470_M35964-68991
"Image for 69 Walnut Hill Rd, Ridgefield, CT 06877 is not found","Sold - Sep 23, 2022","$516,000",4bed,2bath,"2,096sqft",2.1acre lot,/realestateandhomes-detail/69-Walnut-Hill-Rd_Ridgefield_CT_06877_M35434-82934
"Image for 54 Dayton Rd, Redding, CT 06896 is not found","Sold - Sep 22, 2022","$735,000",3bed,2.5bath,"2,627sqft",2acre lot,/realestateandhomes-detail/54-Dayton-Rd_Redding_CT_06896_M40855-84486
"Image for 235 N Salem Rd, Ridgefield, CT 06877 is not found","Sold - Sep 21, 2022","$779,000",4bed,2.5bath,"2,406sqft",1acre lot,/realestateandhomes-detail/235-N-Salem-Rd_Ridgefield_CT_06877_M31700-60704
"Image for 191 Hattertown Rd, Newtown, CT 06470 is not found","Sold - Sep 21, 2022","$506,000",4bed,2.5bath,"2,498sqft",2.03acre lot,/realestateandhomes-detail/191-Hattertown-Rd_Newtown_CT_06470_M33404-40593
"Image for 260 Sport Hill Rd, Easton, CT 06612 is not found","Sold - Sep 21, 2022","$555,000",3bed,1.5bath,"2,245sqft",1.11acre lot,/realestateandhomes-detail/260-Sport-Hill-Rd_Easton_CT_06612_M49817-78432
"Image for 69 Dogwood Ln, Stamford, CT 06903 is not found","Sold - Sep 21, 2022","$600,000",4bed,3bath,"2,077sqft",1.51acre lot,/realestateandhomes-detail/69-Dogwood-Ln_Stamford_CT_06903_M37433-14474
"Image for 248 Bennetts Farm Rd, Ridgefield, CT 06877 is not found","Sold - Sep 21, 2022","$510,000",3bed,2bath,"1,118sqft",1.13acre lot,/realestateandhomes-detail/248-Bennetts-Farm-Rd_Ridgefield_CT_06877_M41339-29602
"Image for 37 Bayne St, Norwalk, CT 06851 is not found","Sold - Sep 21, 2022","$565,000",4bed,3bath,"1,777sqft",1.09acre lot,/realestateandhomes-detail/37-Bayne-St_Norwalk_CT_06851_M40734-17935
"Image for 36 Quaker Ridge Rd, Stamford, CT 06903 is not found","Sold - Sep 21, 2022","$800,000",5bed,4bath,"2,900sqft",1.01acre lot,/realestateandhomes-detail/36-Quaker-Ridge-Rd_Stamford_CT_06903_M36402-53141
"Image for 215 Ridgebury Rd, Ridgefield, CT 06877 is not found","Sold - Sep 21, 2022","$435,155",4bed,3.5+bath,"2,936sqft",1.1acre lot,/realestateandhomes-detail/215-Ridgebury-Rd_Ridgefield_CT_06877_M35345-18289
"Image for 6 Packer Brook Rd, Redding, CT 06896 is not found","Sold - Sep 20, 2022","$450,000",3bed,3bath,"2,543sqft",6.38acre lot,/realestateandhomes-detail/6-Packer-Brook-Rd_Redding_CT_06896_M44242-23255
"Image for 28 Little Brook Ln, Newtown, CT 06470 is not found","Sold - Sep 20, 2022","$650,000",4bed,3bath,"2,573sqft",7.11acre lot,/realestateandhomes-detail/28-Little-Brook-Ln_Newtown_CT_06470_M38159-96177
"Image for 108 Cooper Rd, Ridgefield, CT 06877 is not found","Sold - Sep 20, 2022","$765,000",3bed,2bath,"1,608sqft",1.15acre lot,/realestateandhomes-detail/108-Cooper-Rd_Ridgefield_CT_06877_M34644-87543
"Image for 5 Old Sport Hill Rd, Easton, CT 06612 is not found","Sold - Sep 20, 2022","$750,000",4bed,2.5bath,"1,975sqft",1.57acre lot,/realestateandhomes-detail/5-Old-Sport-Hill-Rd_Easton_CT_06612_M37270-56893
,"Sold - Sep 19, 2022","$620,000",4bed,2.5bath,"2,776sqft",1.15acre lot,/realestateandhomes-detail/15-Westfield-Dr_Trumbull_CT_06611_M41148-33176
,"Sold - Sep 19, 2022","$524,000",4bed,3bath,"1,971sqft",1.28acre lot,/realestateandhomes-detail/4-Dogwood-Park-N_Danbury_CT_06811_M43034-48982
,"Sold - Sep 19, 2022","$625,000",3bed,2.5bath,"3,077sqft",1acre lot,/realestateandhomes-detail/116-Aspen-Ln_Trumbull_CT_06611_M30344-44864
"Image for 155 Richards Dr, Monroe, CT 06468 is not found","Sold - Sep 19, 2022","$455,000",3bed,2bath,"2,694sqft",1.15acre lot,/realestateandhomes-detail/155-Richards-Dr_Monroe_CT_06468_M41398-92337
"Image for 68 Wood Rd, Redding, CT 06896 is not found","Sold - Sep 19, 2022","$765,000",4bed,2.5bath,"2,816sqft",2acre lot,/realestateandhomes-detail/68-Wood-Rd_Redding_CT_06896_M31677-30436
"Image for 94 Parry Rd, Stamford, CT 06907 is not found","Sold - Sep 19, 2022","$780,000",4bed,2.5+bath,"1,938sqft",1.07acre lot,/realestateandhomes-detail/94-Parry-Rd_Stamford_CT_06907_M35079-54154
"Image for 12 Broad Axe Ln, Wilton, CT 06897 is not found","Sold - Sep 19, 2022","$725,000",4bed,2bath,"1,928sqft",1.03acre lot,/realestateandhomes-detail/12-Broad-Axe-Ln_Wilton_CT_06897_M48832-82804
"Image for 109 Shear Hill Rd, Mahopac, NY 10541 is not found","Sold - Sep 15, 2022","$690,000",4bed,3bath,"2,572sqft",1.18acre lot,/realestateandhomes-detail/109-Shear-Hill-Rd_Mahopac_NY_10541_M90835-53325
"Image for 6 Belden Rd, Carmel, NY 10512 is not found","Sold - Sep 15, 2022","$750,000",3bed,2.5bath,"2,160sqft",1.39acre lot,/realestateandhomes-detail/6-Belden-Rd_Carmel_NY_10512_M40357-95108
"Image for 342 Shear Hill Rd, Carmel, NY 10512 is not found","Sold - Sep 15, 2022","$625,000",3bed,3bath,"2,239sqft",2.21acre lot,/realestateandhomes-detail/342-Shear-Hill-Rd_Carmel_NY_10512_M46504-59563
"Image for 11 Betsy Rd, Mahopac, NY 10541 is not found","Sold - Sep 14, 2022","$795,000",4bed,2.5bath,"2,990sqft",1.67acre lot,/realestateandhomes-detail/11-Betsy-Rd_Mahopac_NY_10541_M32066-91047
"Image for 317 W Shore Dr, Carmel, NY 10512 is not found","Sold - Sep 13, 2022","$675,000",4bed,3bath,"2,769sqft",1.43acre lot,/realestateandhomes-detail/317-W-Shore-Dr_Carmel_NY_10512_M30537-88885
"Image for 4 Pheasant Pl, Carmel, NY 10512 is not found","Sold - Sep 13, 2022","$650,000",3bed,2.5bath,"2,122sqft",1.38acre lot,/realestateandhomes-detail/4-Pheasant-Pl_Carmel_NY_10512_M40915-44958
"Image for 105 Blue Spruce Cir, Weston, CT 06883 is not found","Sold - Sep 9, 2022","$779,000",5bed,2.5bath,"2,691sqft",2.05acre lot,/realestateandhomes-detail/105-Blue-Spruce-Cir_Weston_CT_06883_M46544-06757
"Image for 22 Chalk Hill Rd, Monroe, CT 06468 is not found","Sold - Sep 8, 2022","$415,000",3bed,2bath,"2,236sqft",1.13acre lot,/realestateandhomes-detail/22-Chalk-Hill-Rd_Monroe_CT_06468_M32444-29004
"Image for 12 Winslow Rd, Weston, CT 06883 is not found","Sold - Sep 8, 2022","$700,000",4bed,4.5bath,"3,708sqft",3.09acre lot,/realestateandhomes-detail/12-Winslow-Rd_Weston_CT_06883_M38147-46561
"Image for 80 Drovers Ln, Brewster, NY 10509 is not found","Sold - Sep 8, 2022","$630,000",3bed,2.5bath,"2,531sqft",1.04acre lot,/realestateandhomes-detail/80-Drovers-Ln_Brewster_NY_10509_M30283-65288
"Image for 56 Glenvue Dr, Carmel, NY 10512 is not found","Sold - Sep 8, 2022","$645,000",3bed,2.5bath,"2,688sqft",1.21acre lot,/realestateandhomes-detail/56-Glenvue-Dr_Carmel_NY_10512_M36797-19027
"Image for 64 Queens Way, Mahopac, NY 10541 is not found","Sold - Sep 8, 2022","$549,000",3bed,2.5bath,"2,032sqft",2.93acre lot,/realestateandhomes-detail/64-Queens-Way_Mahopac_NY_10541_M40892-60363
"Image for 37 Turkey Roost Rd, Monroe, CT 06468 is not found","Sold - Sep 7, 2022","$430,000",3bed,2bath,"1,200sqft",1.07acre lot,/realestateandhomes-detail/37-Turkey-Roost-Rd_Monroe_CT_06468_M44424-54523
"Image for 12 Terra Glen Rd, Danbury, CT 06811 is not found","Sold - Sep 7, 2022","$572,500",4bed,2.5bath,"2,468sqft",1.43acre lot,/realestateandhomes-detail/12-Terra-Glen-Rd_Danbury_CT_06811_M48022-13635
"Image for 184 Chestnut Hill Rd, Trumbull, CT 06611 is not found","Sold - Sep 7, 2022","$700,000",4bed,2.5bath,"2,053sqft",1.22acre lot,/realestateandhomes-detail/184-Chestnut-Hill-Rd_Trumbull_CT_06611_M37316-58274
"Image for 63 Hillside Ter, Mahopac, NY 10541 is not found","Sold - Sep 7, 2022","$650,000",4bed,3bath,"2,489sqft",3.55acre lot,/realestateandhomes-detail/63-Hillside-Ter_Mahopac_NY_10541_M49140-67468
"Image for 96 Tanglewylde Rd, Lake Peekskill, NY 10537 is not found","Sold - Sep 7, 2022","$390,000",2bed,1bath,"1,440sqft",1.01acre lot,/realestateandhomes-detail/96-Tanglewylde-Rd_Lake-Peekskill_NY_10537_M38442-02674
"Image for 36 Johnson Pl, Monroe, CT 06468 is not found","Sold - Sep 6, 2022","$300,000",3bed,1bath,"1,200sqft",1acre lot,/realestateandhomes-detail/36-Johnson-Pl_Monroe_CT_06468_M44757-70276
"Image for 21 Woodmere Dr, Trumbull, CT 06611 is not found","Sold - Sep 6, 2022","$310,000",3bed,1bath,"1,222sqft",1.04acre lot,/realestateandhomes-detail/21-Woodmere-Dr_Trumbull_CT_06611_M49883-58240
"Image for 1 Wedgewood Ct, Newtown, CT 06470 is not found","Sold - Sep 2, 2022","$700,000",4bed,3.5bath,"3,316sqft",2.46acre lot,/realestateandhomes-detail/1-Wedgewood-Ct_Newtown_CT_06470_M30025-27548
"Image for 9 Sturges Rd, Newtown, CT 06470 is not found","Sold - Sep 2, 2022","$620,000",4bed,2bath,"2,745sqft",2.01acre lot,/realestateandhomes-detail/9-Sturges-Rd_Newtown_CT_06470_M31210-29912
